date,sku,sales
2024-01-01,A101,12
2024-01-02,A101,15
2024-01-03,A101,18
2024-01-04,A101,14
2024-01-05,A101,16
2024-01-06,A101,20
2024-01-07,A101,22
2024-01-08,A101,13
2024-01-09,A101,17
2024-01-10,A101,19
2024-01-11,A101,21
2024-01-12,A101,15
2024-01-13,A101,18
2024-01-14,A101,20
2024-01-15,A101,16
2024-01-16,A101,14
2024-01-17,A101,19
2024-01-18,A101,23
2024-01-19,A101,17
2024-01-20,A101,15
2024-01-21,A101,21
2024-01-22,A101,24
2024-01-23,A101,18
2024-01-24,A101,16
2024-01-25,A101,20
2024-01-26,A101,22
2024-01-27,A101,19
2024-01-28,A101,17
2024-01-29,A101,23
2024-01-30,A101,25
2024-01-31,A101,20
2024-02-01,A101,18
2024-02-02,A101,22
2024-02-03,A101,26
2024-02-04,A101,19
2024-02-05,A101,17
2024-02-06,A101,24
2024-02-07,A101,28
2024-02-08,A101,21
2024-02-09,A101,19
2024-02-10,A101,25
2024-02-11,A101,27
2024-02-12,A101,22
2024-02-13,A101,20
2024-02-14,A101,26
2024-02-15,A101,30
2024-02-16,A101,23
2024-02-17,A101,21
2024-02-18,A101,27
2024-02-19,A101,29
2024-02-20,A101,24
2024-02-21,A101,22
2024-02-22,A101,28
2024-02-23,A101,32
2024-02-24,A101,25
2024-02-25,A101,23
2024-02-26,A101,29
2024-02-27,A101,31
2024-02-28,A101,26
2024-02-29,A101,24
2024-03-01,A101,30
2024-03-02,A101,34
2024-03-03,A101,27
2024-03-04,A101,25
2024-03-05,A101,31
2024-03-06,A101,33
2024-03-07,A101,28
2024-03-08,A101,26
2024-03-09,A101,32
2024-03-10,A101,36
2024-03-11,A101,29
2024-03-12,A101,27
2024-03-13,A101,33
2024-03-14,A101,35
2024-03-15,A101,30
2024-03-16,A101,28
2024-03-17,A101,34
2024-03-18,A101,38
2024-03-19,A101,31
2024-03-20,A101,29
2024-03-21,A101,35
2024-03-22,A101,37
2024-03-23,A101,32
2024-03-24,A101,30
2024-03-25,A101,36
2024-03-26,A101,40
2024-03-27,A101,33
2024-03-28,A101,31
2024-03-29,A101,37
2024-03-30,A101,39
2024-03-31,A101,34
2024-04-01,B202,8
2024-04-02,B202,10
2024-04-03,B202,12
2024-04-04,B202,9
2024-04-05,B202,11
2024-04-06,B202,14
2024-04-07,B202,16
2024-04-08,B202,10
2024-04-09,B202,12
2024-04-10,B202,15
2024-04-11,B202,17
2024-04-12,B202,11
2024-04-13,B202,13
2024-04-14,B202,16
2024-04-15,B202,18
2024-04-16,B202,12
2024-04-17,B202,14
2024-04-18,B202,17
2024-04-19,B202,19
2024-04-20,B202,13
2024-04-21,B202,15
2024-04-22,B202,18
2024-04-23,B202,20
2024-04-24,B202,14
2024-04-25,B202,16
2024-04-26,B202,19
2024-04-27,B202,21
2024-04-28,B202,15
2024-04-29,B202,17
2024-04-30,B202,20
2024-05-01,B202,22
2024-05-02,B202,16
2024-05-03,B202,18
2024-05-04,B202,21
2024-05-05,B202,23
2024-05-06,B202,17
2024-05-07,B202,19
2024-05-08,B202,22
2024-05-09,B202,24
2024-05-10,B202,18
2024-05-11,B202,20
2024-05-12,B202,23
2024-05-13,B202,25
2024-05-14,B202,19
2024-05-15,B202,21
2024-05-16,B202,24
2024-05-17,B202,26
2024-05-18,B202,20
2024-05-19,B202,22
2024-05-20,B202,25
2024-05-21,B202,27
2024-05-22,B202,21
2024-05-23,B202,23
2024-05-24,B202,26
2024-05-25,B202,28
2024-05-26,B202,22
2024-05-27,B202,24
2024-05-28,B202,27
2024-05-29,B202,29
2024-05-30,B202,23
2024-05-31,B202,25
2024-06-01,C303,25
2024-06-02,C303,30
2024-06-03,C303,35
2024-06-04,C303,28
2024-06-05,C303,32
2024-06-06,C303,38
2024-06-07,C303,42
2024-06-08,C303,30
2024-06-09,C303,34
2024-06-10,C303,40
2024-06-11,C303,44
2024-06-12,C303,32
2024-06-13,C303,36
2024-06-14,C303,42
2024-06-15,C303,46
2024-06-16,C303,34
2024-06-17,C303,38
2024-06-18,C303,44
2024-06-19,C303,48
2024-06-20,C303,36
2024-06-21,C303,40
2024-06-22,C303,46
2024-06-23,C303,50
2024-06-24,C303,38
2024-06-25,C303,42
2024-06-26,C303,48
2024-06-27,C303,52
2024-06-28,C303,40
2024-06-29,C303,44
2024-06-30,C303,50
2024-07-01,C303,54
2024-07-02,C303,42
2024-07-03,C303,46
2024-07-04,C303,52
2024-07-05,C303,56
2024-07-06,C303,44
2024-07-07,C303,48
2024-07-08,C303,54
2024-07-09,C303,58
2024-07-10,C303,46
2024-07-11,C303,50
2024-07-12,C303,56
2024-07-13,C303,60
2024-07-14,C303,48
2024-07-15,C303,52
2024-07-16,C303,58
2024-07-17,C303,62
2024-07-18,C303,50
2024-07-19,C303,54
2024-07-20,C303,60
2024-07-21,C303,64
2024-07-22,C303,52
2024-07-23,C303,56
2024-07-24,C303,62
2024-07-25,C303,66
2024-07-26,C303,54
2024-07-27,C303,58
2024-07-28,C303,64
2024-07-29,C303,68
2024-07-30,C303,56
2024-07-31,C303,60
